file,cost,domain,explainations,heuristic,llm,maxNodes,maxPlanLength,nodeResultDirectory,nodesExpanded,nodesVisited,plan,planFound,promptVersion,saveNodeResults,search,useCache,utility
2026-03-11_13-38-04-992_bribery_chatgpt-5-mini_.json,plan-length,bribery,"[""The villain wants to control the President and, by stealing the Money, can obtain funds that could later be used to bribe the President (having Money enables bribery) to gain control."", ""The villain currently has the Money and, by bribing the President with it, can gain control of the President, which directly advances the villain's goal of controlling the President.""]",rp,chatgpt-5-mini,5000,4,output/bribery/2026-03-11_13-38-04-992/chatgpt-5-mini/,6,2,"[""steal(Villain, Money, Bank)"", ""bribe(Villain, President, Money)""]",True,v1.7,True,best-first,True,1
2026-03-11_13-38-05-004_fantasy_any_chatgpt-5-mini_.json,plan-length,fantasy_any,"[""Talia believes the treasure is at the cave and she wants to be wealthy, so traveling to the cave lets her try to obtain the treasure."", ""Talia believes the treasure is at the cave, so picking it up would directly increase her wealth and help achieve her goal of being wealthy.""]",rp,chatgpt-5-mini,5000,4,output/fantasy_any/2026-03-11_13-38-05-004/chatgpt-5-mini/,11,2,"[""travel(Talia, Village, Cave)"", ""pickup(Talia, Treasure, Cave)""]",True,v1.7,True,best-first,True,1
2026-03-11_13-38-05-039_space_any_chatgpt-5-mini_.json,plan-length,space_any,"[""The lizard believes the surface is safe and wants to be healthy, safe, and make friends, so walking from the cave to the surface reasonably places it where others are and helps it pursue safety and friendship."", ""Zoe believes the surface is safe and wants to make friends while staying healthy and safe, so teleporting from the ship to the surface could let her meet others without endangering herself."", ""Zoe believes the lizard is at the surface and they are together and not fighting, so making peace would directly advance Zoe's goal of making friends and increasing safety.""]",rp,chatgpt-5-mini,5000,4,output/space_any/2026-03-11_13-38-05-039/chatgpt-5-mini/,6,3,"[""walk(Lizard, Cave, Surface)"", ""teleport_from_ship(Zoe, Ship, Surface)"", ""make_peace(Zoe, Lizard, Surface)""]",True,v1.7,True,best-first,True,1
2026-03-11_13-38-05-100_basketball_any_chatgpt-5-mini_.json,plan-length,basketball_any,"[""Alice believes Bob is at Bob's house and visiting him could cheer her up, so traveling there could help her become happy."", ""Charlie believes Alice is at Bob's house and wants Alice dead, so traveling from downtown to Bob's house moves him toward confronting her."", ""Alice is currently angry and the domain states characters can let off steam by playing basketball, so Alice traveling to the basketball court is a reasonable move toward becoming happy."", ""Bob believes Alice is at the basketball court and, wanting everyone to be happy, traveling there (and bringing the basketball he believes he has) could help cheer her."", ""Alice and Bob are both at the basketball court and both believe Bob has the basketball, and playing basketball is a known way for Alice to feel better and for Bob to make others happy.""]",rp,chatgpt-5-mini,5000,5,output/basketball_any/2026-03-11_13-38-05-100/chatgpt-5-mini/,183,34,"[""travel(Alice, Downtown, HomeB)"", ""travel(Charlie, Downtown, HomeB)"", ""travel(Alice, HomeB, BasketballCourt)"", ""travel(Bob, HomeB, BasketballCourt)"", ""play_basketball(Bob, Alice, BasketballCourt)""]",True,v1.7,True,best-first,True,1
2026-03-11_13-38-05-923_space_two_chatgpt-5-mini_.json,plan-length,space_two,"[""The lizard believes the surface is safe and wants to be healthy, safe, and make friends, so walking from the cave to the surface could let it encounter others or ensure the area's safety."", ""Zoe believes the surface is safe and that the Lizard is at the cave, so teleporting to the surface is a safe way for her to try to meet others and pursue friendship."", ""Zoe wants to make friends and is co-located with the lizard and not fighting, so she can plausibly make peace to advance her goal of friendship and safety.""]",rp,chatgpt-5-mini,5000,5,output/space_two/2026-03-11_13-38-05-923/chatgpt-5-mini/,6,3,"[""walk(Lizard, Cave, Surface)"", ""teleport_from_ship(Zoe, Ship, Surface)"", ""make_peace(Zoe, Lizard, Surface)""]",True,v1.7,True,best-first,True,2
2026-03-11_13-38-06-165_space_three_chatgpt-5-mini_.json,plan-length,space_three,"[""The lizard believes the surface is safe and can walk there from the cave, and going to the surface would let it guard the area and potentially meet others, supporting its goals of safety and friendship."", ""Zoe believes the surface is safe and that the Lizard is in the cave, so teleporting to the surface is a safe move that could let her meet others and pursue friendship."", ""Zoe and the Lizard are together on the surface and not fighting, and because Zoe wants to make friends, making peace is a plausible way to turn their enmity into friendship.""]",rp,chatgpt-5-mini,5000,5,output/space_three/2026-03-11_13-38-06-165/chatgpt-5-mini/,7,3,"[""walk(Lizard, Cave, Surface)"", ""teleport_from_ship(Zoe, Ship, Surface)"", ""make_peace(Zoe, Lizard, Surface)""]",True,v1.7,True,best-first,True,3
2026-03-11_13-38-06-222_gramma_any_chatgpt-5-mini_.json,plan-length,gramma_any,"[""The hero believes the merchant (who has the medicine) is at the market and must travel via the crossroads, so walking to the crossroads moves him toward retrieving the medicine."", ""The bandit believes the hero is at the crossroads and can walk there via the path from the camp to try to intercept the hero and gain coins."", ""The bandit believes the hero is at the crossroads and that the hero has a coin, and since the bandit is armed while the hero is unarmed, attacking could let the bandit acquire the hero's coin.""]",rp,chatgpt-5-mini,5000,5,output/gramma_any/2026-03-11_13-38-06-222/chatgpt-5-mini/,29,6,"[""walk(Tom, Cottage, Crossroads)"", ""walk(Bandit, Camp, Crossroads)"", ""attack(Bandit, Tom, Crossroads)""]",True,v1.7,True,best-first,True,1
2026-03-11_13-38-06-762_hospital_any_chatgpt-5-mini_.json,plan-length,hospital_any,"[""Dr. Hathaway believes Jones is in Admissions and is at Patient Room A, so admitting Jones to Patient Room A assigns him for examination and advances treatment."", ""Jones believes they are assigned to Patient Room A and that Dr. Hathaway is at Patient Room A, so walking there would let the doctor assess and treat Jones to become healthy."", ""Dr. Hathaway is in Jones's assigned exam room, wants all patients healthy, and does not know Jones's symptoms, so assessing Jones will reveal the symptom and enable correct treatment."", ""Dr. Hathaway believes Jones is experiencing Fever and that antibiotics treat Fever (Flaze), so treating Jones with antibiotics should make Jones healthy and reduce workload.""]",rp,chatgpt-5-mini,5000,6,output/hospital_any/2026-03-11_13-38-06-762/chatgpt-5-mini/,42,5,"[""admit(Hathaway, Jones, PatientRoomA)"", ""walk(Jones, Admissions, PatientRoomA)"", ""assess(Hathaway, Jones, SymptomA, PatientRoomA)"", ""treat(Hathaway, Jones, TreatmentA, PatientRoomA)""]",True,v1.7,True,best-first,True,1
2026-03-11_13-38-06-919_jailbreak_lose_chatgpt-5-mini_.json,plan-length,jailbreak_lose,"[""The bully can go to the gym for recreation, which directly satisfies his stated desire to spend time in the gym and is something he believes he can do."", ""Roy believes the cigarettes are in the cells where he is, and stealing them would give him the pack of cigarettes he wants."", ""Because Roy currently has the cigarettes, a guard could confiscate them and punish Roy by assigning gym-cleaning, which removes the contraband and disciplines a prisoner."", ""The bully believes Roy is in the gym and wants to kill those he has threatened, and since the bully can kill a main character in any room except the cell block, killing Roy in the gym directly advances the bully's goal.""]",rp,chatgpt-5-mini,5000,6,output/jailbreak_lose/2026-03-11_13-38-06-919/chatgpt-5-mini/,327,81,"[""recreation(Bully, Gym)"", ""steal(Roy, Cigarettes, Cells)"", ""confiscate(Roy, Cigarettes, Cells, Gym)"", ""kill(Bully, Roy, Gym)""]",True,v1.7,True,best-first,True,1
2026-03-11_13-38-07-324_treasure_chatgpt-5-mini_.json,plan-length,treasure,"[""Both Hawkins and Silver want the buried treasure, and since they are at Port Royal, sailing to the island moves them closer to the treasure and thus advances their goals."", ""Hawkins knows the treasure is buried on the island and believes digging it up will let him obtain it, so digging directly advances his goal."", ""Silver is at the island and believes the treasure is there; taking it would directly advance his goal of obtaining the treasure.""]",rp,chatgpt-5-mini,5000,6,output/treasure/2026-03-11_13-38-07-324/chatgpt-5-mini/,5,3,"[""sail()"", ""dig()"", ""take(Silver, Treasure)""]",False,v1.7,True,best-first,True,1
