file,cost,domain,heuristic,llm,maxNodes,maxPlanLength,nodesExpanded,nodesVisited,plan,planFound,promptVersion,search,useCache,utility
2026-03-04_01-51-06-191.json,action-cost,deerhunter,rp,chatgpt-5-mini,5000,8,12,12,,False,v1.3,best-first,True,1
2026-03-04_01-53-11-064.json,action-cost,deerhunter,rp,llama-8b,5000,8,65,18,"[""pickup(Bubba, Rifle, House)"", ""pickup(Bubba, Ammo, House)"", ""load(Bubba, Rifle, Ammo)"", ""decide_to_get_money(Bubba)"", ""decide_to_get_money(Bubba)"", ""go(Bubba, House, Bank)"", ""steal(Bubba, Clerk, Rifle, Bank)""]",True,v1.3,best-first,True,1
2026-03-04_02-01-54-288.json,plan-length,deerhunter,rp,llama-8b,5000,8,41,10,"[""pickup(Bubba, Rifle, House)"", ""pickup(Bubba, Ammo, House)"", ""load(Bubba, Rifle, Ammo)"", ""go(Bambi, Forest, Bank)"", ""go(Bubba, House, Bank)"", ""steal(Bubba, Clerk, Rifle, Bank)""]",True,v1.3,best-first,True,1
2026-03-04_02-05-30-069.json,plan-length,deerhunter,rp,chatgpt-5-mini,5000,8,8,8,,False,v1.3,best-first,True,1
2026-03-04_03-40-06-046.json,plan-length,bribery,rp,chatgpt-5-mini,5000,4,7,2,"[""steal(Villain, Money, Bank)"", ""bribe(Villain, President, Money)""]",True,v1.3,best-first,True,1
2026-03-04_03-40-06-088.json,plan-length,bribery,rp,llama-8b,5000,4,17,8,,False,v1.3,best-first,True,1
2026-03-04_03-40-12-000.json,plan-length,fantasy_any,rp,llama-8b,5000,4,13,3,"[""travel(Talia, Village, Cave)"", ""pickup(Talia, Treasure, Cave)""]",True,v1.3,best-first,True,1
2026-03-04_03-40-17-125.json,plan-length,space_any,rp,llama-8b,5000,4,7,3,"[""begin_erupt(Surface)"", ""erupt(Surface)""]",True,v1.3,best-first,True,1
2026-03-04_03-41-02-734.json,plan-length,fantasy_any,rp,chatgpt-5-mini,5000,4,10,2,"[""travel(Talia, Village, Cave)"", ""pickup(Talia, Treasure, Cave)""]",True,v1.3,best-first,True,1
2026-03-04_03-41-12-255.json,plan-length,space_any,rp,chatgpt-5-mini,5000,4,6,3,"[""walk(Lizard, Cave, Surface)"", ""teleport_from_ship(Zoe, Ship, Surface)"", ""make_peace(Zoe, Lizard, Surface)""]",True,v1.3,best-first,True,1
2026-03-04_03-41-49-373.json,plan-length,basketball_any,rp,llama-8b,5000,5,178,51,"[""travel(Alice, Downtown, HomeB)"", ""travel(Alice, HomeB, BasketballCourt)"", ""travel(Bob, HomeB, BasketballCourt)"", ""play_basketball(Bob, Alice, BasketballCourt)""]",True,v1.3,best-first,True,1
2026-03-04_03-41-56-284.json,plan-length,gramma_any,rp,llama-8b,5000,5,10,3,"[""walk(Merchant, Market, Crossroads)"", ""walk(Merchant, Crossroads, Cottage)"", ""buy(Tom, Medicine, TomCoin, Cottage)""]",True,v1.3,best-first,True,1
