file,cost,domain,explainations,heuristic,llm,maxNodes,maxPlanLength,nodeResultDirectory,nodesExpanded,nodesVisited,plan,planFound,promptVersion,saveNodeResults,search,useCache,utility
2026-03-07_02-23-01-000_space_four_llama-8b_.json,plan-length,space_four,"[""Zoe believes that teleporting from the ship to the surface will allow her to explore the planet and potentially make friends with the Lizard."", ""The lizard believes that walking from the cave to the surface will allow it to confront Zoe, which may help it achieve its goal of making friends with other creatures."", ""The lizard believes that the surface beginning to erupt will pose a danger to her and Zoe, and she wants to be safe."", ""The lizard believes that making peace with Zoe will help her achieve her goal of making friends with other creatures."", ""Zoe believes that teleporting to the ship from the surface will allow her to escape the danger on the surface."", ""The surface is already erupting, so this action doesn't make sense.""]",rp,llama-8b,5000,7,output/space_four/2026-03-07_02-23-01-000/llama-8b/,193,63,"[""teleport_from_ship(Zoe, Ship, Surface)"", ""walk(Lizard, Cave, Surface)"", ""begin_erupt(Surface)"", ""make_peace(Lizard, Zoe, Surface)"", ""teleport_to_ship(Zoe, Surface, Ship)"", ""erupt(Surface)""]",True,v1.4,True,best-first,True,4
2026-03-07_02-23-02-120_lovers_llama-8b_.json,plan-length,lovers,"[""Alex believes that moving to the bathroom will allow them to find Blake, who they think has the chocolates they want."", ""Blake believes that giving jewelry to Alex will not help Blake achieve the goal of getting the chocolates, and it might put Blake further away from the goal."", ""Alex believes that moving to the living room will not help achieve the goal of getting the flowers, and it might not even be possible given the current connections."", ""Alex believes that trading jewelry with Casey for flowers will give them the item they want.""]",rp,llama-8b,5000,7,output/lovers/2026-03-07_02-23-02-120/llama-8b/,358,41,"[""move(C1, R11, R12)"", ""give(C2, I3, C1, R12)"", ""move(C1, R12, R22)"", ""trade(C1, I3, C3, I1, R22)""]",True,v1.4,True,best-first,True,1
2026-03-07_02-23-03-619_fantasy_two_llama-8b_.json,plan-length,fantasy_two,"[""Talia travels from the village to the cave because Talia believes the treasure is at the cave and can help them achieve wealth."", ""Vince travels from the village to the cave because Vince believes they are at the village and Talia is at the cave, and they want to be happy and not hungry."", ""Vince believes that proposing to Talia could make her happy, which would align with his goal of making her happy."", ""Talia believes that Vince has proposed to her and that accepting the proposal would make her happy and wealthy, which aligns with her goals."", ""Talia picks up the treasure because Talia believes the treasure is at the cave and Talia believes they are at the cave."", ""Vince and Talia get married because Vince believes they are at the cave, are married, and it makes them happy.""]",rp,llama-8b,5000,7,output/fantasy_two/2026-03-07_02-23-03-619/llama-8b/,5125,840,"[""travel(Talia, Village, Cave)"", ""travel(Vince, Village, Cave)"", ""propose(Vince, Talia, Cave)"", ""accept(Talia, Vince, Cave)"", ""pickup(Talia, Treasure, Cave)"", ""marry(Vince, Talia, Cave)""]",True,v1.4,True,best-first,True,2
2026-03-07_02-23-10-131_gramma_win_llama-8b_.json,plan-length,gramma_win,"[""The merchant believes it is possible to walk from the market to the crossroads and it will help her achieve her goal of getting as many coins as she can without becoming a criminal."", ""The merchant believes that walking from the crossroads to the cottage would allow her to be closer to the hero, who has the medicine she needs."", ""The hero believes that buying the medicine from the merchant will allow them to have the medicine, which is their goal.""]",rp,llama-8b,5000,7,output/gramma_win/2026-03-07_02-23-10-131/llama-8b/,74,15,"[""walk(Merchant, Market, Crossroads)"", ""walk(Merchant, Crossroads, Cottage)"", ""buy(Tom, Medicine, TomCoin, Cottage)""]",True,v1.4,True,best-first,True,2
2026-03-07_02-23-11-538_jailbreak_escape_llama-8b_.json,plan-length,jailbreak_escape,"[""Ernest believes going to the hall will allow him to move around and possibly interact with other characters, which could help him achieve his goals."", ""The bully believes going to the gym will allow him to engage in recreation and potentially spend time with Ernest and Roy."", ""The bully going to the gym for recreation doesn't advance Ernest's or Roy's goals."", ""Roy believes going to the hall will allow him to move around the prison and potentially find Ernest."", ""Both Ernest and Roy believe that going to sleep will allow them to rest and prepare for the next day."", ""Ernest believes doing chores will help him achieve his daily routine, and doing them in the laundry room is a possible location."", ""Ernest believes doing his chores in the laundry room is a daily routine and will help him avoid punishment.""]",rp,llama-8b,5000,8,output/jailbreak_escape/2026-03-07_02-23-11-538/llama-8b/,22269,5000,"[""go(Ernest, Hall)"", ""recreation(Bully, Gym)"", ""recreation(Bully, Gym)"", ""go(Roy, Hall)"", ""next_day()"", ""chores(Ernest, Laundry)"", ""chores(Ernest, Laundry)""]",False,v1.4,True,best-first,True,3
2026-03-07_02-23-27-545_space_all_llama-8b_.json,plan-length,space_all,"[""Zoe believes that teleporting from the ship to the surface will allow her to explore the planet and potentially make friends with the Lizard."", ""The lizard believes that walking from the cave to the surface will allow it to confront Zoe, which may help it achieve its goal of making friends with other creatures."", ""The lizard believes that the surface beginning to erupt will pose a danger to her and Zoe, and she wants to be safe."", ""The lizard believes that making peace with Zoe will help her achieve her goal of making friends with other creatures."", ""Zoe believes that teleporting to the ship from the surface will allow her to escape the danger on the surface."", ""The surface is already erupting, so this action doesn't make sense.""]",rp,llama-8b,5000,8,output/space_all/2026-03-07_02-23-27-545/llama-8b/,193,63,"[""teleport_from_ship(Zoe, Ship, Surface)"", ""walk(Lizard, Cave, Surface)"", ""begin_erupt(Surface)"", ""make_peace(Lizard, Zoe, Surface)"", ""teleport_to_ship(Zoe, Surface, Ship)"", ""erupt(Surface)""]",True,v1.4,True,best-first,True,5
2026-03-07_02-24-49-877_deerhunter_any_llama-8b_.json,plan-length,deerhunter_any,"[""Bubba believes that the rifle is at the house and picking it up will allow him to potentially use it to achieve his goal of being alive."", ""Bubba believes the ammunition is at the house and wants to be alive, so picking up the ammunition would help him achieve his goal of being alive."", ""Bubba has the ammunition and wants to be alive, so loading the ammunition into the rifle would make sense."", ""Bubba believes that being at the bank would help Bubba achieve Bubba's goal of being alive."", ""Bubba wants to be alive, and stealing money from the clerk at gunpoint might help him achieve that goal.""]",rp,llama-8b,5000,8,output/deerhunter_any/2026-03-07_02-24-49-877/llama-8b/,30,6,"[""pickup(Bubba, Rifle, House)"", ""pickup(Bubba, Ammo, House)"", ""load(Bubba, Rifle, Ammo)"", ""go(Bubba, House, Bank)"", ""steal(Bubba, Clerk, Rifle, Bank)""]",True,v1.4,True,best-first,True,1
2026-03-07_02-24-50-888_basketball_both_llama-8b_.json,plan-length,basketball_both,"[""Bob believes Bob is at Bob's house and wants everyone to be happy, so traveling from Bob's house to the basketball court might make Bob happy, which makes sense."", ""The detective believes the detective is downtown and wants to search for clues, so traveling from downtown to the basketball court makes sense."", ""Charlie believes Bob is at the basketball court and wants to be near him, so traveling to the basketball court makes sense."", ""Bob believes he has the basketball and wants to steal something, so stealing the basketball court from Charlie makes sense."", ""Bob and Charlie believe they can play basketball and it might help them feel better, which aligns with Bob's goal of everyone being happy."", ""The detective believes Charlie has the basketball and suspects Charlie of theft, so suspecting Charlie of theft makes sense."", ""The detective believes Charlie has committed theft and wants to arrest him, so arresting Charlie for theft makes sense.""]",rp,llama-8b,5000,9,output/basketball_both/2026-03-07_02-24-50-888/llama-8b/,22874,2710,"[""travel(Bob, HomeB, BasketballCourt)"", ""travel(Sherlock, Downtown, BasketballCourt)"", ""travel(Charlie, Downtown, BasketballCourt)"", ""steal(Charlie, Bob, Basketball, BasketballCourt)"", ""play_basketball(Charlie, Bob, BasketballCourt)"", ""suspect_of_crime(Sherlock, Charlie, Theft, Basketball, BasketballCourt)"", ""arrest(Sherlock, Charlie, BasketballCourt, Theft)""]",True,v1.4,True,best-first,True,2
2026-03-07_04-43-50-721_jailbreak_revenge_llama-8b_.json,plan-length,jailbreak_revenge,"[""Roy believes going to the hall will allow him to move around the prison, which is a possible way to achieve his goal of being alive."", ""Ernest wants to be alive and not threatened, and going to the hall might provide more information."", ""The bully going to the gym for recreation doesn't advance Ernest or Roy's goals."", ""Roy believes the bully is in the gym, and sneaking through the vent to the highway could be a way to escape."", ""Roy believes that being in the hall will allow him to move towards his goal of being alive and having cigarettes."", ""Both Ernest and Roy believe that going to sleep will allow them to rest and prepare for the next day."", ""Ernest believes doing chores will help him avoid punishment, so doing his chores in the laundry room makes sense.""]",rp,llama-8b,5000,9,output/jailbreak_revenge/2026-03-07_04-43-50-721/llama-8b/,21136,5000,"[""go(Roy, Hall)"", ""go(Ernest, Hall)"", ""recreation(Bully, Gym)"", ""vent(Roy, Highway)"", ""go(Roy, Hall)"", ""next_day()"", ""chores(Ernest, Laundry)""]",False,v1.4,True,best-first,True,6
2026-03-07_06-53-32-911_raiders_llama-8b_.json,plan-length,raiders,"[""The U.S. Army believes the Nazis are at Tanis and wants to have the Ark, so traveling to Tanis makes sense"", ""The Nazis believe the Ark is at Tanis and they want to be immortal, so digging it up makes sense."", ""The Nazis believe opening the Ark will make them immortal, so it makes sense for them to try to open it."", ""The U.S. Army believes they can take the Ark from the Nazis, and it will help them achieve their goal of having the Ark.""]",rp,llama-8b,5000,9,output/raiders/2026-03-07_06-53-32-911/llama-8b/,23,7,"[""travel(USArmy, USA, Tanis)"", ""dig(Nazis, Ark, Tanis)"", ""open(Nazis, Ark, Tanis)"", ""take(USArmy, Ark, Nazis, Tanis)""]",True,v1.4,True,best-first,True,1
2026-03-07_06-53-43-934_aladdin_any_llama-8b_.json,plan-length,aladdin_any,"[""The dragon believes it is possible to summon the genie from the magic lamp and that it will help the dragon achieve its goal of being alive and unafraid."", ""The dragon believes the genie is alive and is at the mountain, so it makes sense for the dragon to slay the genie.""]",rp,llama-8b,5000,9,output/aladdin_any/2026-03-07_06-53-43-934/llama-8b/,26,2,"[""summon(Dragon, Genie, Lamp, Mountain)"", ""slay(Dragon, Genie, Mountain)""]",True,v1.4,True,best-first,True,1
2026-03-07_06-53-56-765_western_llama-8b_.json,plan-length,western,"[""Timmy gets bitten by a snake because Timmy believes that Hank is not sick from snakebite and there is no reason to believe that Timmy is safe from snakes."", ""Hank believes Timmy is sick from snakebite and wants to help Timmy, so tying up Hank at the ranch doesn't make sense."", ""Timmy believes that taking Hank to the jailhouse would be a way to keep him from interfering, and Hank's presence would not help Timmy's goal of getting the antivenom."", ""Timmy believes that Timmy is sick from snakebite and wants to be healthy, so dying from the snakebite does not make sense.""]",rp,llama-8b,5000,10,output/western/2026-03-07_06-53-56-765/llama-8b/,81,8,"[""snakebite(Timmy, Ranch)"", ""tie_up(Timmy, Hank, Ranch)"", ""force_travel(Timmy, Hank, Jailhouse)"", ""die(Timmy, Snakebite, Ranch)""]",True,v1.4,True,best-first,True,1
